City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Zwedru,LR,6.07,-8.13,71.6,98,100,1.68,overcast clouds
221,Beatrice,US,40.27,-96.75,84.2,45,1,13.87,clear sky
222,Busayra,JO,30.74,35.61,58.08,86,0,1.01,clear sky
223,Hobyo,SO,5.35,48.53,78.44,85,15,14.23,few clouds
224,Vila,PT,42.03,-8.16,46.99,80,2,5.99,clear sky
225,Grand-Lahou,CI,5.14,-5.02,75.94,90,57,6.46,broken clouds
226,Westport,US,41.14,-73.36,62.6,67,90,11.41,overcast clouds
227,Alyangula,AU,-13.85,136.42,86.0,58,7,4.7,clear sky
228,Vila Franca Do Campo,PT,37.72,-25.43,64.4,82,75,11.41,broken clouds
229,Utica,US,43.1,-75.23,51.8,53,1,9.17,clear sky
230,Baijiantan,CN,45.63,85.18,48.6,49,99,3.96,overcast clouds
231,Bestobe,KZ,52.5,73.1,44.98,87,73,8.75,broken clouds
232,Mayumba,GA,-3.43,10.66,76.62,85,97,10.25,light rain
233,Clyde River,CA,70.47,-68.59,32.0,97,90,6.93,overcast clouds
234,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
235,Margate,GB,51.38,1.39,50.0,81,19,3.0,few clouds
236,Tiksi,RU,71.69,128.87,11.05,94,36,8.21,scattered clouds
237,Ussel,FR,45.55,2.32,37.78,96,16,4.43,few clouds
238,Ugoofaaru,MV,5.67,73.0,81.84,80,100,20.29,overcast clouds
239,Saint Anthony,US,45.02,-93.22,66.99,59,1,13.87,clear sky
240,Hambantota,LK,6.12,81.12,80.17,78,84,19.55,broken clouds
241,Burgeo,CA,47.62,-57.62,39.83,75,15,17.94,few clouds
242,Byron Bay,AU,-28.65,153.62,78.01,60,9,4.7,clear sky
243,Itarema,BR,-2.92,-39.92,78.55,79,0,14.25,clear sky
244,Bohicon,BJ,7.18,2.07,72.91,96,78,4.27,broken clouds
245,Turukhansk,RU,65.82,87.98,21.96,97,98,13.67,overcast clouds
246,Aklavik,CA,68.22,-135.01,26.6,92,90,11.41,light snow
247,Ossora,RU,59.24,163.07,38.98,68,0,1.81,clear sky
248,Thompson,CA,55.74,-97.86,48.2,76,75,4.7,broken clouds
249,Ballina,AU,-28.87,153.57,78.01,60,5,4.7,clear sky
250,North Platte,US,41.12,-100.77,64.4,36,20,42.5,moderate rain
251,Garowe,SO,8.41,48.48,75.31,80,2,9.57,clear sky
252,Davila,PH,18.47,120.58,78.8,100,90,3.36,overcast clouds
253,Ahipara,NZ,-35.17,173.17,63.14,82,97,11.97,light rain
254,Severnyy,RU,50.68,36.55,53.6,87,71,6.71,broken clouds
255,Sambava,MG,-14.27,50.17,74.68,89,47,7.11,scattered clouds
256,Baturaja,ID,-4.13,104.17,73.71,91,100,1.5,moderate rain
257,Asyut,EG,27.18,31.18,77.0,53,0,8.05,clear sky
258,Korla,CN,41.76,86.15,44.58,53,97,3.74,overcast clouds
259,Sabzevar,IR,36.21,57.68,39.07,58,0,10.33,clear sky
260,Buala,SB,-8.14,159.59,85.71,71,16,8.66,light rain
261,Banyuwangi,ID,-8.23,114.36,80.55,76,25,3.31,scattered clouds
262,Kashmor,PK,28.43,69.58,77.54,18,0,4.83,clear sky
263,Dikson,RU,73.51,80.55,37.22,99,100,19.6,overcast clouds
264,Nacala,MZ,-14.54,40.67,74.5,93,1,2.53,clear sky
265,Shimoda,JP,34.67,138.95,69.8,83,75,19.46,broken clouds
266,Matara,LK,5.95,80.54,78.51,85,98,13.29,light rain
267,Adrar,MR,20.5,-10.07,89.2,33,53,19.39,broken clouds
268,Bolshaya Sosnova,RU,57.67,54.6,41.43,77,91,6.8,overcast clouds
269,Necochea,AR,-38.55,-58.74,50.0,96,82,4.0,broken clouds
270,Sterling,US,39.01,-77.43,66.2,88,90,3.36,light rain
271,Marawi,PH,8.0,124.29,80.01,83,100,3.0,moderate rain
272,Khandyga,RU,62.67,135.6,35.22,88,100,3.11,overcast clouds
273,Kismayo,SO,-0.36,42.55,77.77,81,0,11.07,clear sky
274,Los Llanos De Aridane,ES,28.66,-17.92,73.4,83,90,12.75,overcast clouds
275,Conceicao Do Araguaia,BR,-8.26,-49.26,76.3,88,86,5.44,moderate rain
276,Ngaoundere,CM,7.32,13.58,63.23,88,51,0.47,broken clouds
277,Henties Bay,NA,-22.12,14.28,54.0,91,0,1.01,clear sky
278,Coihaique,CL,-45.58,-72.07,50.0,83,75,10.29,broken clouds
279,Feicheng,CN,35.26,117.97,61.99,77,95,7.85,overcast clouds
280,Bati,ET,11.18,40.02,63.09,53,18,1.34,few clouds
281,Nuuk,GL,64.18,-51.72,41.0,60,99,8.05,overcast clouds
282,Xinzhi,CN,36.5,111.7,58.77,32,81,3.98,broken clouds
283,Nome,US,64.5,-165.41,46.0,56,75,6.93,broken clouds
284,Iranshahr,IR,27.2,60.68,60.53,26,0,2.57,clear sky
285,La Palma,US,33.85,-118.05,78.01,57,1,6.93,clear sky
286,Ruston,US,32.52,-92.64,75.2,88,1,2.75,clear sky
287,Lorengau,PG,-2.02,147.27,84.96,73,100,9.66,overcast clouds
288,Gat,IL,31.61,34.76,75.99,100,0,3.0,clear sky
289,Vung Tau,VN,10.35,107.08,78.06,90,98,9.86,overcast clouds
290,Tenenkou,ML,14.46,-4.92,82.27,55,0,3.91,light rain
291,Kuching,MY,1.55,110.33,75.2,100,40,3.36,moderate rain
292,Leningradskiy,RU,69.38,178.42,28.99,98,100,1.83,overcast clouds
293,Shenjiamen,CN,29.96,122.3,69.57,72,16,11.81,few clouds
294,Uusikaupunki,FI,60.8,21.41,42.8,100,58,6.93,broken clouds
295,Kalemie,CD,-5.95,29.19,70.63,75,57,3.27,broken clouds
